ID;PP global;SE global;N global;f global;Scala Diagnose;PP Diagnose;SE Diagnose;N Diagnose;f Diagnose;alle Skalen;alle PP
P000910;0,93;0,1;59;0,69;Sim/B/B03;0,86;0,17;9;0,44;Sim/C/C03 Sim/B/B03 Sim/A/A04 ;0,38 (0,24 | 3 | 0,33) 0,86 (0,17 | 9 | 0,44) 0,92 (0,63 | 5 | 0,8) 
P000911;1,26;0,12;77;0,77;Sim/A/A02;0,24;0,34;10;0,8;Sim/A/A02 Sim/A/A04 Sim/C/C02 Sim/B/B02 ;0,24 (0,34 | 10 | 0,8) 0,51 (0,3 | 10 | 0,7) 0,85 (0,3 | 10 | 0,8) 1,18 (0,39 | 10 | 0,5) 
P000912;-5,34;0,73;23;0,04;;;;;;Sim/B/B01 Sim/A/A05 Sim/A/A06 Sim/B/B02 Sim/B/B03 Sim/A/A04 ;-6,22 (7,74 | 5 | 0) -5,41 (4,24 | 5 | 0) -5,4 (4,44 | 5 | 0) -5,36 (10,28 | 1 | 0) -5,36 (9,79 | 1 | 0) -5,34 (8341,27 | 1 | 0) 
P000913;2,08;0,2;56;0,64;Sim/B/B01;1,53;0,34;10;0,8;Sim/A/A07 Sim/A/A04 Sim/B/B01 Sim/C/C07 Sim/B/B02 ;0,58 (1,04 | 2 | 0,5) 1 (0,63 | 6 | 0,83) 1,53 (0,34 | 10 | 0,8) 1,92 (0,84 | 6 | 0,17) 1,98 (0,3 | 10 | 0,6) 
P000914;-0,87;0,08;62;0,31;Sim/B/B01;-1,65;0,4;10;0,2;Sim/B/B01 Sim/A/A02 Sim/B/B02 ;-1,65 (0,4 | 10 | 0,2) -1,18 (0,22 | 7 | 0,43) -0,89 (0,48 | 10 | 0,1) 
P000915;-0,73;0,08;53;0,36;Sim/B/B02;-0,87;0,46;10;0;Sim/C/C03 Sim/A/A07 Sim/B/B02 Sim/A/A02 ;-1,89 (1,27 | 5 | 0,2) -0,88 (0,24 | 4 | 0,25) -0,87 (0,46 | 10 | 0) -0,83 (0,24 | 7 | 0,43) 
P000916;-2,13;0,16;23;0,17;;;;;;Sim/B/B01 Sim/A/A04 Sim/A/A06 Sim/A/A05 ;-2,15 (0,8 | 5 | 0) -2,13 (0,7 | 5 | 0) -2,13 (0,9 | 5 | 0) -2,13 (0,25 | 4 | 0,5) 
P000917;1,98;0,2;38;0,61;Sim/B/B01;1,8;0,43;10;0,9;Sim/B/B01 Sim/B/B04 Sim/C/C07 Sim/C/C04 Sim/C/C10 ;1,8 (0,43 | 10 | 0,9) 1,95 (0,69 | 5 | 0) 1,97 (1,32 | 1 | 0) 1,98 (1,45 | 1 | 0) 1,98 (1,7 | 1 | 0) 
P000918;3,88;0,08;78;0,53;Sim/B/B04;3,66;0,26;10;0,8;Sim/B/B04 Sim/C/C08 Sim/C/C09 Sim/C/C10 Sim/C/C05 Sim/C/C06 ;3,66 (0,26 | 10 | 0,8) 3,73 (0,34 | 10 | 0,1) 3,76 (0,32 | 10 | 0) 3,79 (0,23 | 4 | 0,5) 3,82 (0,23 | 5 | 0,4) 3,88 (0,18 | 5 | 0,4) 
P000919;2,33;0,19;43;0,53;Sim/B/B01;1,8;0,43;10;0,9;Sim/B/B01 Sim/B/B04 Sim/C/C04 Sim/C/C07 ;1,8 (0,43 | 10 | 0,9) 2 (0,73 | 6 | 0,17) 2,05 (0,73 | 5 | 0,2) 2,26 (0,52 | 9 | 0) 
P000920;6,06;0,91;31;0,94;;;;;;Sim/B/B03 Sim/C/C06 ;2,45 (1,28 | 5 | 0,8) 5,33 (1,28 | 5 | 0,8) 
P000921;1,51;0,15;59;0,75;Sim/C/C02;1,02;0,32;10;0,8;Sim/C/C02 Sim/B/B03 Sim/C/C03 Sim/C/C04 Sim/C/C07 ;1,02 (0,32 | 10 | 0,8) 1,41 (0,24 | 6 | 0,5) 1,44 (0,35 | 10 | 0,9) 1,5 (1,76 | 2 | 0) 1,5 (2,06 | 1 | 0) 
P000922;-2,91;0,16;38;0,26;Sim/A/A02;-2,98;0,33;10;0;Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-2,98 (0,33 | 10 | 0) -2,92 (1,42 | 5 | 0) -2,91 (1,96 | 5 | 0) 
P000923;-3,62;0,17;30;0,27;Sim/A/A01;-3,72;0,2;8;0,5;Sim/B/B01 Sim/A/A01 Sim/A/A05 Sim/A/A06 Sim/B/B02 Sim/A/A04 ;-4,41 (4,53 | 5 | 0) -3,72 (0,2 | 8 | 0,5) -3,64 (0,75 | 5 | 0) -3,63 (2,2 | 5 | 0) -3,62 (7,49 | 1 | 0) -3,62 (62,09 | 1 | 0) 
P000924;-3;0,18;38;0,47;Sim/A/A05;-3,38;0,41;10;0,2;Sim/A/A05 Sim/A/A06 Sim/A/A04 ;-3,38 (0,41 | 10 | 0,2) -3,02 (1,52 | 5 | 0) -3,01 (10,89 | 1 | 0) 
P000925;-2,11;0,14;33;0,3;Sim/A/A05;-2,17;0,21;7;0,57;Sim/A/A05 Sim/A/A04 Sim/A/A06 ;-2,17 (0,21 | 7 | 0,57) -2,13 (0,69 | 5 | 0) -2,13 (0,89 | 5 | 0) 
P000926;-0,96;0,08;47;0,34;Sim/A/A04;-1,45;0,23;6;0,33;Sim/A/A04 Sim/B/B02 Sim/B/B01 Sim/A/A02 Sim/C/C03 ;-1,45 (0,23 | 6 | 0,33) -1,15 (1,82 | 1 | 0) -1,14 (0,29 | 10 | 0,3) -1,09 (0,25 | 4 | 0,5) -1,03 (0,53 | 6 | 0,17) 
P000927;0,43;0,1;73;0,73;Sim/B/B01;0,15;0,25;9;0,56;Sim/A/A06 Sim/B/B01 Sim/A/A02 Sim/B/B02 Sim/C/C02 ;0,09 (0,6 | 6 | 0,83) 0,15 (0,25 | 9 | 0,56) 0,24 (0,34 | 10 | 0,8) 0,31 (0,2 | 7 | 0,57) 0,37 (0,28 | 10 | 0,6) 
P000928;-3,86;0,16;33;0,18;;;;;;Sim/A/A03 Sim/A/A05 Sim/A/A06 Sim/A/A04 ;-4,05 (0,21 | 4 | 0,5) -3,87 (1,06 | 5 | 0) -3,87 (2,47 | 5 | 0) -3,86 (123,39 | 1 | 0) 
P000929;0,77;0,1;71;0,75;Sim/A/A02;0,24;0,34;10;0,8;Sim/A/A04 Sim/A/A02 Sim/B/B03 Sim/B/B02 Sim/C/C02 ;0,17 (0,24 | 3 | 0,67) 0,24 (0,34 | 10 | 0,8) 0,56 (0,22 | 6 | 0,33) 0,56 (0,23 | 7 | 0,43) 0,6 (0,29 | 10 | 0,7) 
P000930;-0,1;0,09;60;0,57;Sim/C/C03;-0,16;0,3;10;0,3;Sim/C/C02 Sim/C/C01 Sim/C/C03 Sim/A/A04 Sim/A/A07 ;-0,46 (0,24 | 4 | 0,5) -0,2 (0,22 | 4 | 0,5) -0,16 (0,3 | 10 | 0,3) -0,13 (0,24 | 3 | 0,33) -0,12 (0,25 | 10 | 0,6) 
P000931;0,17;0,09;68;0,66;Sim/A/A02;-0,72;0,25;8;0,5;Sim/A/A02 Sim/B/B01 Sim/C/C01 Sim/A/A06 Sim/C/C02 ;-0,72 (0,25 | 8 | 0,5) -0,37 (0,24 | 9 | 0,67) -0,09 (0,23 | 6 | 0,5) 0,09 (0,6 | 6 | 0,83) 0,12 (0,25 | 10 | 0,5) 
P000932;-2,11;0,15;34;0,24;Sim/A/A02;-2,28;0,24;5;0,4;Sim/A/A02 Sim/B/B01 ;-2,28 (0,24 | 5 | 0,4) -2,12 (0,77 | 5 | 0) 
P000933;0,75;0,11;79;0,71;Sim/A/A07;0,24;0,37;10;0,8;Sim/A/A04 Sim/A/A07 Sim/C/C03 Sim/B/B01 Sim/C/C01 ;0,11 (0,22 | 4 | 0,5) 0,24 (0,37 | 10 | 0,8) 0,32 (0,19 | 10 | 0,5) 0,57 (0,3 | 10 | 0,5) 0,66 (0,48 | 10 | 0,9) 
P000934;-5,83;1,43;21;0,05;;;;;;Sim/A/A06 Sim/A/A01 Sim/A/A05 Sim/A/A04 ;-6,66 (6,02 | 5 | 0) -6,1 (2,24 | 5 | 0) -6,02 (4,77 | 5 | 0) -5,83 (33416,71 | 1 | 0) 
P000935;-2,75;0,14;38;0,32;Sim/A/A02;-2,94;0,31;10;0,2;Sim/A/A02 Sim/A/A01 Sim/A/A06 Sim/B/B01 ;-2,94 (0,31 | 10 | 0,2) -2,84 (0,41 | 10 | 0,7) -2,76 (1,29 | 5 | 0) -2,76 (1,66 | 5 | 0) 
P000936;5,95;0,82;31;0,97;;;;;;Sim/B/B01 ;2,35 (0,78 | 5 | 0,8) 
P000937;-2,52;0,15;37;0,51;Sim/A/A01;-3,24;0,3;10;0,8;Sim/A/A01 Sim/A/A05 Sim/B/B01 ;-3,24 (0,3 | 10 | 0,8) -2,89 (0,24 | 5 | 0,2) -2,53 (1,3 | 5 | 0) 
P000938;2,94;0,11;55;0,49;Sim/B/B02;2,51;0,34;10;0,8;Sim/B/B02 Sim/C/C05 ;2,51 (0,34 | 10 | 0,8) 2,87 (0,23 | 10 | 0) 
P000939;-2,8;0,17;33;0,42;Sim/A/A05;-2,89;0,21;10;0,3;Sim/A/A05 Sim/A/A06 Sim/B/B01 ;-2,89 (0,21 | 10 | 0,3) -2,8 (1,32 | 5 | 0) -2,8 (1,74 | 5 | 0) 
P000940;-1,35;0,11;70;0,33;Sim/A/A05;-1,86;0,26;10;0,7;Sim/A/A06 Sim/A/A05 Sim/A/A02 Sim/A/A07 Sim/B/B02 ;-2,75 (1,3 | 10 | 0,1) -1,86 (0,26 | 10 | 0,7) -1,54 (0,24 | 6 | 0,5) -1,44 (0,48 | 10 | 0,1) -1,35 (3,25 | 1 | 0) 
P000941;-1,48;0,13;45;0,33;Sim/A/A02;-1,54;0,24;6;0,5;Sim/A/A05 Sim/A/A02 ;-2,35 (0,24 | 4 | 0,5) -1,54 (0,24 | 6 | 0,5) 
P000942;0,34;0,1;63;0,62;Sim/C/C02;-0,13;0,24;6;0,5;Sim/C/C02 Sim/B/B02 Sim/B/B03 Sim/A/A04 ;-0,13 (0,24 | 6 | 0,5) 0,12 (0,25 | 4 | 0,5) 0,12 (0,35 | 10 | 0,1) 0,17 (0,24 | 3 | 0,67) 
P000943;2,85;0,11;61;0,49;Sim/B/B02;2,47;0,33;10;0,7;Sim/B/B02 Sim/C/C07 Sim/C/C10 Sim/B/B04 ;2,47 (0,33 | 10 | 0,7) 2,72 (0,29 | 10 | 0,2) 2,78 (0,3 | 10 | 0,2) 2,79 (0,22 | 4 | 0,5) 
P000944;-0,87;0,09;53;0,34;Sim/B/B01;-1,71;0,42;10;0,2;Sim/B/B02 Sim/C/C02 Sim/B/B01 Sim/A/A07 ;-1,77 (2,03 | 7 | 0) -1,71 (0,96 | 5 | 0,2) -1,71 (0,42 | 10 | 0,2) -1,67 (1 | 5 | 0,2) 
P000945;2,39;0,19;39;0,51;;;;;;Sim/C/C04 Sim/B/B04 Sim/C/C07 ;1,38 (1,1 | 8 | 0) 2 (0,73 | 6 | 0,17) 2,02 (0,83 | 5 | 0,2) 
P000946;-0,06;0,09;80;0,54;Sim/A/A02;-0,65;0,24;7;0,57;Sim/A/A02 Sim/A/A04 Sim/B/B02 Sim/C/C01 ;-0,65 (0,24 | 7 | 0,57) -0,59 (0,25 | 7 | 0,43) -0,25 (0,22 | 7 | 0,29) -0,09 (0,23 | 6 | 0,5) 
P000947;-6,43;2,23;27;0,04;;;;;;Sim/A/A06 Sim/A/A05 Sim/A/A01 Sim/B/B01 Sim/B/B03 Sim/A/A04 ;-7,61 (7,48 | 5 | 0) -6,76 (5,54 | 5 | 0) -6,73 (3,9 | 5 | 0) -6,58 (8,71 | 5 | 0) -6,54 (11,74 | 1 | 0) -6,43 (187814,42 | 1 | 0) 
P000948;0,25;0,09;84;0,5;Sim/C/C01;-0,08;0,23;6;0,5;Sim/C/C01 Sim/C/C02 Sim/A/A07 Sim/C/C03 Sim/B/B01 ;-0,08 (0,23 | 6 | 0,5) 0,04 (0,25 | 9 | 0,44) 0,11 (0,32 | 10 | 0,7) 0,13 (0,23 | 9 | 0,44) 0,14 (0,24 | 10 | 0,4) 
P000949;-5,62;1,09;23;0;;;;;;Sim/B/B02 Sim/B/B03 Sim/B/B01 Sim/A/A06 Sim/A/A05 Sim/A/A01 ;-7,52 (13,59 | 1 | 0) -7,11 (12,88 | 1 | 0) -6,54 (8,38 | 5 | 0) -6,23 (5,45 | 5 | 0) -5,97 (4,72 | 5 | 0) -5,82 (1,6 | 5 | 0) 
P000950;1,27;0,12;55;0,75;Sim/B/B02;0,82;0,27;10;0,5;Sim/B/B02 Sim/C/C03 ;0,82 (0,27 | 10 | 0,5) 0,94 (0,24 | 6 | 0,67) 
P000951;1,42;0,14;62;0,77;Sim/A/A02;0,83;0,39;10;0,9;Sim/A/A02 Sim/B/B01 Sim/C/C03 Sim/C/C04 Sim/C/C07 ;0,83 (0,39 | 10 | 0,9) 1,07 (0,24 | 7 | 0,57) 1,36 (0,32 | 10 | 0,9) 1,42 (1,85 | 2 | 0) 1,42 (2,24 | 1 | 0) 
P000952;-0,39;0,08;62;0,52;Sim/A/A02;-0,65;0,24;7;0,57;Sim/A/A02 Sim/B/B02 Sim/A/A04 Sim/C/C01 ;-0,65 (0,24 | 7 | 0,57) -0,63 (0,29 | 10 | 0,1) -0,57 (0,24 | 7 | 0,57) -0,42 (0,22 | 4 | 0,5) 
P000953;-0,32;0,08;76;0,47;Sim/A/A06;-1,04;0,18;5;0,4;Sim/A/A06 Sim/A/A04 Sim/C/C02 Sim/C/C03 Sim/A/A07 ;-1,04 (0,18 | 5 | 0,4) -0,9 (0,19 | 7 | 0,43) -0,46 (0,24 | 4 | 0,5) -0,41 (0,33 | 10 | 0,2) -0,4 (0,21 | 5 | 0,6) 
P000954;-2,7;0,16;26;0,12;Sim/A/A02;-2,82;0,27;10;0;Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-2,82 (0,27 | 10 | 0) -2,7 (1,25 | 5 | 0) -2,7 (1,59 | 5 | 0) 
P000955;0,2;0,09;76;0,57;Sim/A/A06;-0,54;0,23;5;0,6;Sim/A/A06 Sim/A/A07 Sim/C/C03 Sim/B/B03 Sim/A/A04 ;-0,54 (0,23 | 5 | 0,6) -0,37 (0,23 | 4 | 0,5) -0,03 (0,28 | 10 | 0,3) 0,13 (0,35 | 10 | 0,1) 0,17 (0,24 | 3 | 0,67) 
P000956;1,87;0,21;41;0,73;Sim/B/B02;1,51;0,43;10;0,5;Sim/A/A04 Sim/B/B02 Sim/C/C07 Sim/B/B04 Sim/C/C04 Sim/C/C10 ;0,92 (0,55 | 7 | 0,86) 1,51 (0,43 | 10 | 0,5) 1,86 (1,46 | 1 | 0) 1,87 (1,44 | 1 | 0) 1,87 (1,68 | 1 | 0) 1,87 (2,01 | 1 | 0) 
P000957;-4,61;0,17;36;0,19;Sim/A/A01;-4,86;0,31;10;0,2;Sim/A/A01 Sim/A/A04 Sim/B/B01 ;-4,86 (0,31 | 10 | 0,2) -4,62 (1063,56 | 1 | 0) -4,61 (6,48 | 5 | 0) 
P000958;-0,32;0,08;65;0,54;Sim/B/B01;-0,54;0,25;9;0,44;Sim/B/B01 Sim/C/C02 Sim/C/C03 Sim/A/A07 Sim/B/B02 Sim/A/A04 ;-0,54 (0,25 | 9 | 0,44) -0,46 (0,24 | 4 | 0,5) -0,4 (0,32 | 10 | 0,4) -0,38 (0,2 | 6 | 0,5) -0,36 (0,24 | 4 | 0,25) -0,33 (0,25 | 6 | 0,5) 
