ID;PP global;SE global;N global;f global;Scala Diagnose;PP Diagnose;SE Diagnose;N Diagnose;f Diagnose;alle Skalen;alle PP
P000621;-5,49;0,94;22;0;;;;;;Sim/A/A02 Sim/A/A01 Sim/A/A06 Sim/B/B01 Sim/B/B03 ;-5,64 (8,39 | 5 | 0) -5,82 (1,6 | 5 | 0) -5,95 (5,09 | 5 | 0) -6,53 (8,61 | 5 | 0) -6,81 (12,27 | 1 | 0) 
P000622;-1,31;0,1;55;0,2;Sim/A/A02;-1,03;0,22;8;0,38;Sim/A/A04 Sim/C/C02 Sim/B/B01 ;-1,76 (0,32 | 10 | 0) -1,76 (0,94 | 6 | 0,17) -1,79 (0,46 | 10 | 0,1) 
P000623;-0,2;0,08;70;0,53;Sim/B/B02;0,3;0,23;5;0,6;Sim/B/B03 Sim/A/A02 Sim/B/B01 Sim/C/C03 ;-0,2 (0,68 | 5 | 0) -0,31 (0,26 | 10 | 0,6) -0,62 (0,25 | 10 | 0,6) -1,3 (0,76 | 6 | 0,17) 
P000624;-2,68;0,17;25;0,12;Sim/A/A05;-2,22;0,24;5;0,6;Sim/B/B01 Sim/A/A06 Sim/A/A02 ;-2,68 (1,56 | 5 | 0) -2,69 (1,24 | 5 | 0) -3,1 (0,39 | 10 | 0) 
P000625;-1,31;0,11;60;0,25;Sim/C/C03;-0,42;0,32;10;0,2;Sim/B/B02 Sim/A/A07 Sim/A/A04 Sim/C/C01 Sim/A/A02 ;-1,31 (2,94 | 1 | 0) -1,33 (0,41 | 10 | 0,2) -1,44 (0,25 | 4 | 0,25) -1,59 (0,36 | 10 | 0,2) -1,84 (0,23 | 5 | 0,4) 
P000626;1,45;0,14;50;0,78;Sim/C/C03;1,5;0,39;8;1;Sim/C/C04 Sim/C/C07 Sim/B/B02 Sim/B/B03 Sim/A/A04 ;1,45 (3 | 1 | 0) 1,45 (2,18 | 1 | 0) 1,39 (0,44 | 10 | 0,6) 1,23 (0,21 | 5 | 0,6) 0,99 (0,65 | 5 | 0,8) 
P000627;-1,79;0,13;66;0,24;Sim/B/B01;-1,13;0,29;10;0,3;Sim/B/B02 Sim/C/C02 Sim/A/A02 Sim/A/A04 Sim/A/A05 Sim/C/C01 ;-1,79 (2,13 | 5 | 0) -1,8 (1,66 | 1 | 0) -1,81 (0,22 | 6 | 0,33) -1,91 (0,42 | 10 | 0) -1,97 (0,23 | 9 | 0,78) -2,14 (0,72 | 7 | 0,14) 
P000628;3,79;0,09;69;0,57;Sim/C/C08;3,86;0,28;10;0,2;Sim/C/C09 Sim/C/C04 Sim/C/C06 Sim/C/C07 Sim/B/B01 ;3,71 (0,35 | 10 | 0,2) 3,6 (0,24 | 6 | 0,5) 3,58 (0,23 | 4 | 0,25) 3,58 (0,21 | 5 | 0,4) 2,86 (1,28 | 5 | 0,8) 
P000629;-0,42;0,08;68;0,49;Sim/B/B02;0,18;0,23;5;0,6;Sim/C/C02 Sim/A/A04 Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-0,46 (0,24 | 4 | 0,5) -0,57 (0,24 | 7 | 0,57) -0,64 (0,24 | 9 | 0,56) -0,74 (0,19 | 4 | 0,5) -1,1 (0,29 | 10 | 0,4) 
P000630;1,05;0,11;59;0,76;Sim/B/B01;1,66;0,38;10;0,8;Sim/B/B03 Sim/B/B02 Sim/A/A02 Sim/C/C02 ;0,9 (0,23 | 4 | 0,5) 0,87 (0,28 | 10 | 0,6) 0,83 (0,39 | 10 | 0,9) 0,54 (0,29 | 10 | 0,7) 
P000631;4,28;0,09;65;0,72;Sim/C/C06;4,38;0,22;6;0,83;Sim/C/C10 Sim/C/C04 Sim/C/C08 ;4,25 (0,27 | 10 | 0,8) 4,08 (0,24 | 10 | 0,6) 3,83 (0,3 | 10 | 0,2) 
P000632;-2,38;0,15;27;0,3;Sim/A/A05;-1,99;0,25;7;0,71;Sim/B/B01 Sim/A/A02 ;-2,38 (1,09 | 5 | 0) -2,78 (0,26 | 10 | 0,2) 
P000633;-1,6;0,12;78;0,28;Sim/B/B02;-0,89;0,48;10;0,1;Sim/C/C03 Sim/C/C02 Sim/A/A06 Sim/C/C01 Sim/A/A04 ;-1,61 (1,41 | 1 | 0) -1,61 (1,57 | 1 | 0) -1,63 (0,38 | 10 | 0,2) -1,68 (0,41 | 10 | 0,2) -1,76 (0,32 | 10 | 0) 
P000634;-2,72;0,15;25;0,16;Sim/A/A02;-2,62;0,23;8;0,25;Sim/B/B01 Sim/A/A06 Sim/A/A05 ;-2,72 (1,6 | 5 | 0) -2,72 (1,26 | 5 | 0) -2,75 (0,19 | 7 | 0,29) 
P000635;0,69;0,11;61;0,77;Sim/B/B01;1,32;0,28;10;0,7;Sim/A/A04 Sim/B/B03 Sim/C/C03 Sim/B/B02 ;0,68 (0,38 | 10 | 0,8) 0,66 (0,24 | 4 | 0,5) 0,38 (0,24 | 3 | 0,33) 0,22 (0,22 | 4 | 0,5) 
P000636;4,19;0,09;64;0,64;Sim/C/C06;4,41;0,2;10;0,7;Sim/C/C09 Sim/B/B02 Sim/C/C10 Sim/C/C08 Sim/C/C07 ;4,19 (0,23 | 5 | 0,2) 4,03 (1,72 | 5 | 0,8) 4,03 (0,25 | 5 | 0,6) 3,91 (0,28 | 10 | 0,2) 3,87 (0,23 | 4 | 0,5) 
P000637;3,69;0,08;70;0,54;Sim/B/B04;3,87;0,34;10;0,9;Sim/C/C06 Sim/C/C05 Sim/B/B02 Sim/C/C08 ;3,63 (0,22 | 4 | 0) 3,54 (0,22 | 4 | 0,5) 3,3 (0,83 | 5 | 0,8) 3,22 (0,64 | 10 | 0,1) 
P000638;3,48;0,09;80;0,44;Sim/C/C07;4,36;0,35;10;0,8;Sim/C/C05 Sim/C/C09 Sim/C/C08 Sim/C/C06 Sim/B/B02 Sim/C/C10 ;3,43 (0,24 | 4 | 0,5) 3,39 (0,58 | 8 | 0) 3,39 (0,51 | 10 | 0) 3,36 (0,25 | 10 | 0) 3,26 (0,79 | 5 | 0,8) 1,07 (2,16 | 9 | 0,11) 
P000639;-4,66;0,17;32;0,09;Sim/A/A01;-4,44;0,23;5;0,4;Sim/B/B03 Sim/A/A06 Sim/B/B01 Sim/A/A03 ;-4,66 (8,85 | 1 | 0) -4,66 (3,37 | 5 | 0) -4,66 (5,14 | 5 | 0) -5,07 (0,51 | 10 | 0,1) 
P000640;3,73;0,09;69;0,52;Sim/C/C08;4,05;0,23;9;0,22;Sim/C/C10 Sim/B/B02 Sim/B/B04 Sim/B/B01 ;3,49 (0,19 | 5 | 0,4) 3,26 (0,79 | 5 | 0,8) 3,11 (0,17 | 9 | 0,44) 2,02 (0,55 | 7 | 0,86) 
